,lat,long,elevation
356,4.5,-118.28571,-4422.158203125
357,4.5,-108.0,-3850.159912109375
358,4.5,-97.71429,-3474.27978515625
359,4.5,-87.42857,-1676.162231445312
360,4.5,-77.14286,66.57231903076172
361,4.5,-66.85714,825.8207397460938
362,4.5,-56.57143,120.8454666137695
363,4.5,-46.28571,-3572.0888671875
364,4.5,-36.0,-3851.360107421875
365,4.5,-25.71429,-4091.16943359375
366,4.5,-15.42857,-4932.4853515625
367,4.5,-5.14286,-2656.879150390625
368,4.5,5.14286,-164.0382690429688
369,4.5,15.42857,649.2676391601562
370,4.5,25.71429,628.9430541992188
371,4.5,36.0,369.8800048828125
372,4.5,46.28571,178.8688354492188
373,4.5,56.57143,-4172.16455078125
374,4.5,66.85714,-3650.55810546875
375,4.5,77.14286,-3195.6240234375
376,4.5,87.42857,-4045.108642578125
377,4.5,97.71429,86.06234741210938
378,4.5,108.0,-41.36000061035156
379,4.5,118.28571,41.44686508178711
380,4.5,128.57143,-6164.02001953125
381,4.5,138.85714,-4192.07666015625
382,4.5,149.14286,-3822.51904296875
383,4.5,159.42857,-3861.291015625
384,4.5,169.71429,-4357.21484375
385,13.5,-174.85714,-5187.42578125
386,13.5,-164.57143,-5314.7548828125
387,13.5,-154.28571,-5451.2275390625
388,13.5,-144.0,-5081.0
389,13.5,-133.71429,-4879.95849609375
390,13.5,-123.42857,-4463.2060546875
391,13.5,-113.14286,-3946.948486328125
392,13.5,-102.85714,-3161.30615234375
393,13.5,-92.57143,-5526.3046875
394,13.5,-82.28571,-31.1943302154541
395,13.5,-72.0,-3281.52001953125
396,13.5,-61.71429,-2950.069091796875
397,13.5,-51.42857,-5162.77099609375
398,13.5,-41.14286,-4881.82568359375
399,13.5,-30.85714,-5710.81494140625
400,13.5,-20.57143,-4522.13134765625
401,13.5,-10.28571,265.0525207519531
402,13.5,0.0,286.0
403,13.5,10.28571,352.1407165527344
404,13.5,20.57143,476.3659362792969
405,13.5,30.85714,471.7889404296875
406,13.5,41.14286,54.23068618774414
407,13.5,51.42857,-2192.533203125
408,13.5,61.71429,-4218.119140625
409,13.5,72.0,-1164.199951171875
410,13.5,82.28571,-3373.09716796875
411,13.5,92.57143,-330.4582214355469
412,13.5,102.85714,16.25722694396973
413,13.5,113.14286,-3641.436279296875
414,13.5,123.42857,114.7358245849609
415,13.5,133.71429,-4797.6767578125
416,13.5,144.0,-2918.796875
417,13.5,154.28571,-6059.3134765625
